amount,is_new_receiver,transactions_today,Class
4157.079434934565,0,11,0
51.73234843796884,1,8,0
3636.272182401785,1,10,0
403.11938810692175,1,9,0
1475.4478208402572,1,0,0
588.0900029183173,1,20,0
571.6348876997451,0,12,0
1900.056389853794,1,9,0
8342.243907124632,0,12,0
2353.9197856168794,1,5,0
938.1941596686426,0,14,0
109963.799376156,0,20,1
6466.347663246796,1,7,0
1392.730222256453,1,6,0
149.8182271271497,0,9,0
4050.2732534134934,1,0,0
561.7038545290457,0,1,0
4442.434490462177,1,10,0
4382.6459375206405,0,2,0
2330.608212667309,0,12,0
2507.9191745262597,0,4,0
1101.4709080175207,0,4,0
200.8047668696369,1,0,0
248.66869472501642,1,5,0
922.2491166930567,1,5,0
1257.430558846203,1,18,0
9272.056432982246,1,13,0
14632.57993540565,0,8,0
241.60844407860105,1,1,0
830.4899715786364,1,7,0
40.98848389894115,1,0,0
2858.4969868107382,0,12,0
3743.8868774618513,0,7,0
815.4985145758751,1,6,0
156041.3723835704,0,20,1
457.7829275964486,1,19,0
121.74040540435377,0,6,0
3478.869959402387,0,9,0
1828.2966690801402,1,11,0
5043.883402388956,1,2,0
3565.4168306207953,1,3,0
3637.198002467735,1,1,0
2203.070813951182,0,1,0
4059.1142779438233,1,7,0
3077.0175186861225,0,2,0
1087.901843166597,0,15,0
10237.08704135139,1,1,0
2892.220818886239,1,18,0
7735.971637441382,0,11,0
9796.007928388526,1,12,0
169161.17346181278,0,0,1
1248.1896582308061,1,8,0
6732.722831350743,0,3,0
1790.51387842068,1,9,0
6748.136381736627,1,0,0
3059.343447592551,1,11,0
971.0516028036459,1,8,0
6671.601299506773,1,2,0
4676.44227270837,1,5,0
1037.654446149758,1,14,0
952.6308931399083,0,0,0
5742.30721146514,1,2,0
2395.3437830459943,1,11,0
1274.7608597406202,1,8,0
1237.4886534619282,0,4,0
3859.7737591618816,1,0,0
4984.547705162562,1,6,0
2826.667135044988,0,10,0
1207.3531401638509,1,2,0
113357.42576804706,0,20,1
1739.5434025124823,0,4,0
1357.9824454226632,1,5,0
2853.931356626258,1,17,0
8433.150358736599,0,4,0
3019.26619980081,0,16,0
7599.479819224711,1,0,0
10885.692141388905,0,5,0
3171.9187527796435,1,18,0
1970.5578731360936,1,0,0
10022.064350597646,1,3,0
4591.404263497607,1,2,0
9264.730227471848,1,7,0
2751.1062463975095,1,19,0
5249.806176243885,1,7,0
543.1847766307504,1,0,0
968.5584674743455,1,13,0
7360.381585696904,0,13,0
1015.4137314917426,0,1,0
1324.8866865133814,0,16,0
3609.5085307520853,1,11,0
1606.7295417208009,0,12,0
7270.087763563454,1,11,0
708.7973488004867,1,10,0
2642.779543720448,1,1,0
1581.9286489183683,1,5,0
2057.2157564054087,1,20,0
3744.1625861764855,0,7,0
2046.617246858472,0,6,0
4526.9721950736675,1,17,0
404.7911504965747,1,12,0
1022.4269647831378,1,11,0
6220.6254472078535,1,5,0
862.5205655140147,0,10,0
86.19924598553428,1,0,0
1809.4133980276272,1,5,0
1235.429491605085,1,1,0
1387.3922651441815,0,19,0
1320.1417603134569,0,3,0
854.2917691415745,0,11,0
4545.431236113951,1,18,0
152.65055536953938,1,14,0
2113.2515492097828,1,9,0
2184.337600796512,1,5,0
153.68900231484133,1,7,0
19.844098725070747,1,7,0
2176.0884884013585,1,8,0
5002.427557862112,0,9,0
611.3822895912172,0,18,0
111.3730791634039,1,4,0
1239.244882304714,0,5,0
1515.3378777847643,1,6,0
1416.0118395127877,1,20,0
9288.325007070365,1,3,0
253.49700770542094,1,13,0
1615.0852680069115,0,13,0
947.6358181280918,1,11,0
1860.951134067788,1,6,0
1253.1530438922496,1,9,0
365.56270241435993,1,1,0
1324.196571176222,1,11,0
5164.428890419595,1,2,0
1949.3885385449144,1,14,0
5318.498471156303,0,2,0
1555.3404221595622,1,5,0
534.090347348841,1,13,0
4252.0064864205915,1,20,0
4949.163957258285,1,3,0
3505.535041137693,1,16,0
