message,label
Your PhonePe account shows suspicious activity. Verify: sbi-verify.net,spam
Your loan of ₹1000000 approved instantly. No documents needed: sbi-verify.net,spam
"Mom, I'll call you tonight. In a meeting now.",ham
I'll be there by 7.,ham
Your loan of ₹500000 approved instantly. No documents needed: t.co/fraud123,spam
Can you pick up milk on the way?,ham
Your PhonePe account shows suspicious activity. Verify: t.co/fraud123,spam
Happy birthday! Hope you have a great day.,ham
"Dear customer, your HDFC card is blocked. Update details at t.co/fraud123",spam
Team lunch tomorrow at 1pm. Everyone is invited.,ham
Your KYC is PENDING. Failure to update will SUSPEND your account. tinyurl.com/win99,spam
Congratulations! Your profile selected for ₹50000 govt grant. sbi-verify.net,spam
SBI YONO alert: ₹1000000 reward points expiring today. Redeem: bit.ly/clm9x,spam
Your OTP is 140666. Valid for 10 minutes. Do not share.,ham
You have won a FREE iPhone 15! Limited offer. Click tinyurl.com/win99 to claim.,spam
The match starts at 8pm. Don't miss it!,ham
ALERT: Suspicious login detected on your SBI account. Verify immediately: tinyurl.com/win99,spam
"Hey, are we still meeting today?",ham
"Mom, I'll call you tonight. In a meeting now.",ham
Earn ₹500000 daily from home! No investment needed. Join now: bit.ly/clm9x,spam
Your CVV has been changed without your permission. Call 9978058573,spam
"Hey, are we still meeting today?",ham
Can you send me the address again?,ham
Server maintenance scheduled for tonight 2-4am.,ham
Meeting rescheduled to 4pm.,ham
Can you pick up milk on the way?,ham
Your PhonePe account shows suspicious activity. Verify: sbi-verify.net,spam
New message from your doctor: test results are normal.,ham
Lunch at 2pm? Let me know.,ham
Reminder: EMI of ₹299 due in 3 days.,ham
Reminder: EMI of ₹5000 due in 3 days.,ham
LOTTERY WIN! ₹100000 prize money awaiting you. Contact 9835205605,spam
Can we reschedule our call to Thursday?,ham
URGENT: Your account will be BLOCKED! Click sbi-verify.net to verify NOW!,spam
FREE gold coin with every purchase above ₹1999. Shop now: sbi-verify.net,spam
Crypto investment: ₹1999 becomes ₹50000 in 7 days. t.co/fraud123,spam
URGENT job offer! Earn ₹199/day from home. WhatsApp 9476295823,spam
Sending you the notes from today's class.,ham
SBI YONO alert: ₹1000000 reward points expiring today. Redeem: sbi-verify.net,spam
Your flight PNR is UJ2KM9. Check-in opens 48 hrs before.,ham
Can you send me the address again?,ham
Can we reschedule our call to Thursday?,ham
Earn ₹50000 daily from home! No investment needed. Join now: tinyurl.com/win99,spam
New message from your doctor: test results are normal.,ham
Your electricity bill of ₹299 is due on 26/1/2025.,ham
Your order #250084428 has been shipped. Track at flipkart.com.,ham
I'll be there by 7.,ham
SBI YONO alert: ₹25000 reward points expiring today. Redeem: amzn.in/scam,spam
"Running 10 mins late, sorry!",ham
Lunch at 2pm? Let me know.,ham
The match starts at 8pm. Don't miss it!,ham
Call me when you get home.,ham
Can you pick up milk on the way?,ham
You have won a FREE iPhone 15! Limited offer. Click amzn.in/scam to claim.,spam
Payment of ₹199 received. Thank you for shopping with us.,ham
"Hi, this is a reminder for your dentist appointment at 3pm.",ham
"Hey, are we still meeting today?",ham
Don't forget the assignment is due tomorrow.,ham
Salary credited ₹999 to your account on 21/12/2025.,ham
"Dear customer, your HDFC card is blocked. Update details at amzn.in/scam",spam
I'll be there by 7.,ham
"Alert: New device login to your account. If not you, click t.co/fraud123",spam
FINAL NOTICE: Your PAN card is linked to illegal activity. Call 9664331521,spam
Don't forget the assignment is due tomorrow.,ham
Transaction of ₹10000 done at Reliance Fresh. Avl bal: ₹14781.,ham
Your loan of ₹1000000 approved instantly. No documents needed: amzn.in/scam,spam
"Running 10 mins late, sorry!",ham
Earn ₹100000 daily from home! No investment needed. Join now: sbi-verify.net,spam
Congratulations! Your profile selected for ₹25000 govt grant. sbi-verify.net,spam
"Thanks for yesterday, really helpful.",ham
You have won a FREE iPhone 15! Limited offer. Click t.co/fraud123 to claim.,spam
Lunch at 2pm? Let me know.,ham
"Alert: New device login to your account. If not you, click sbi-verify.net",spam
URGENT job offer! Earn ₹199/day from home. WhatsApp 9832317261,spam
SBI YONO alert: ₹1000000 reward points expiring today. Redeem: t.co/fraud123,spam
Your flight PNR is CC5P8V. Check-in opens 48 hrs before.,ham
Your KYC is PENDING. Failure to update will SUSPEND your account. t.co/fraud123,spam
"Thanks for yesterday, really helpful.",ham
"Running 10 mins late, sorry!",ham
Call me when you get home.,ham
LOTTERY WIN! ₹1000000 prize money awaiting you. Contact 9956950131,spam
Your OTP is 851759. Valid for 10 minutes. Do not share.,ham
Lunch at 2pm? Let me know.,ham
Your CVV has been changed without your permission. Call 9456033513,spam
Reminder: EMI of ₹1499 due in 3 days.,ham
Call me when you get home.,ham
"Alert: New device login to your account. If not you, click amzn.in/scam",spam
Google Pay reward: ₹1000000 cashback waiting. Claim: t.co/fraud123,spam
URGENT job offer! Earn ₹199/day from home. WhatsApp 9625726985,spam
Meeting rescheduled to 4pm.,ham
Transaction of ₹5000 done at Amazon. Avl bal: ₹41230.,ham
Bank customer survey: Complete and win ₹500000 cashback. tinyurl.com/win99,spam
Your internet connection will be cut in 24 hrs. Pay bill: tinyurl.com/win99,spam
Lunch at 2pm? Let me know.,ham
Your CVV has been changed without your permission. Call 9680912575,spam
Transaction of ₹10000 done at Amazon. Avl bal: ₹6141.,ham
Your OTP is 911032. Valid for 10 minutes. Do not share.,ham
Server maintenance scheduled for tonight 2-4am.,ham
Your flight PNR is M5ZKA8. Check-in opens 48 hrs before.,ham
Your order #721027598 has been shipped. Track at flipkart.com.,ham
FREE gold coin with every purchase above ₹5000. Shop now: tinyurl.com/win99,spam
"Alert: New device login to your account. If not you, click tinyurl.com/win99",spam
Sending you the notes from today's class.,ham
Income Tax refund of ₹100000 approved. Provide bank details: amzn.in/scam,spam
IMMEDIATE ACTION required: Aadhaar deactivation notice. t.co/fraud123,spam
Your internet connection will be cut in 24 hrs. Pay bill: sbi-verify.net,spam
Reminder: EMI of ₹999 due in 3 days.,ham
LOTTERY WIN! ₹25000 prize money awaiting you. Contact 9675539687,spam
Salary credited ₹10000 to your account on 8/10/2025.,ham
Call me when you get home.,ham
The match starts at 8pm. Don't miss it!,ham
Transaction of ₹999 done at Swiggy. Avl bal: ₹41015.,ham
Salary credited ₹499 to your account on 13/5/2025.,ham
Your Amazon account is compromised. Reset password: amzn.in/scam,spam
"Dear customer, your appointment is confirmed for 6/7/2025.",ham
Sending you the notes from today's class.,ham
Payment of ₹2999 received. Thank you for shopping with us.,ham
Can you send me the address again?,ham
Lunch at 2pm? Let me know.,ham
Police notice: You have a pending case. Pay ₹999 fine now: amzn.in/scam,spam
Congratulations! You have WON ₹500000 in our lucky draw! Claim at bit.ly/clm9x,spam
"Hi, this is a reminder for your dentist appointment at 3pm.",ham
Meeting rescheduled to 4pm.,ham
Call me when you get home.,ham
Package delivered to your door. Check the doorstep.,ham
Lunch at 2pm? Let me know.,ham
"Hi, this is a reminder for your dentist appointment at 3pm.",ham
"Dear customer, your appointment is confirmed for 17/12/2025.",ham
Your KYC is PENDING. Failure to update will SUSPEND your account. sbi-verify.net,spam
Your Amazon account is compromised. Reset password: sbi-verify.net,spam
Your electricity bill of ₹499 is due on 6/5/2025.,ham
The match starts at 8pm. Don't miss it!,ham
Your KYC is PENDING. Failure to update will SUSPEND your account. t.co/fraud123,spam
Win big in cricket betting! ₹499 becomes ₹100000. Join: sbi-verify.net,spam
Transaction of ₹499 done at DMart. Avl bal: ₹37042.,ham
"Mom, I'll call you tonight. In a meeting now.",ham
Your electricity bill of ₹999 is due on 1/4/2025.,ham
Team lunch tomorrow at 1pm. Everyone is invited.,ham
Can you send me the address again?,ham
Your internet connection will be cut in 24 hrs. Pay bill: sbi-verify.net,spam
Your order #209422179 has been shipped. Track at flipkart.com.,ham
Your Paytm wallet will be deactivated. Verify KYC now: t.co/fraud123,spam
FINAL NOTICE: Your PAN card is linked to illegal activity. Call 9425297142,spam
Sending you the notes from today's class.,ham
Can we reschedule our call to Thursday?,ham
Transaction of ₹1499 done at Zomato. Avl bal: ₹30646.,ham
"Running 10 mins late, sorry!",ham
Payment of ₹199 received. Thank you for shopping with us.,ham
The match starts at 8pm. Don't miss it!,ham
Meeting rescheduled to 4pm.,ham
Your loan of ₹50000 approved instantly. No documents needed: sbi-verify.net,spam
URGENT job offer! Earn ₹499/day from home. WhatsApp 9106028563,spam
Team lunch tomorrow at 1pm. Everyone is invited.,ham
Flipkart sale! Get 90% off. First 100 users only. bit.ly/clm9x,spam
Server maintenance scheduled for tonight 2-4am.,ham
"Dear customer, your HDFC card is blocked. Update details at amzn.in/scam",spam
Win big in cricket betting! ₹5000 becomes ₹100000. Join: amzn.in/scam,spam
Flipkart sale! Get 90% off. First 100 users only. t.co/fraud123,spam
"Hi, this is a reminder for your dentist appointment at 3pm.",ham
Win big in cricket betting! ₹999 becomes ₹50000. Join: tinyurl.com/win99,spam
Can you pick up milk on the way?,ham
Win big in cricket betting! ₹1999 becomes ₹25000. Join: t.co/fraud123,spam
"Hi, this is a reminder for your dentist appointment at 3pm.",ham
Reminder: EMI of ₹999 due in 3 days.,ham
Don't forget the assignment is due tomorrow.,ham
Can you send me the address again?,ham
Can you send me the address again?,ham
Your PhonePe account shows suspicious activity. Verify: bit.ly/clm9x,spam
URGENT: Your account will be BLOCKED! Click tinyurl.com/win99 to verify NOW!,spam
"Alert: New device login to your account. If not you, click amzn.in/scam",spam
