message,label
your phonepe account shows suspicious activity verify url,1
your loan of 1000000 approved instantly no documents needed url,1
mom i ll call you tonight in a meeting now,0
i ll be there by 7,0
your loan of 500000 approved instantly no documents needed url,1
can you pick up milk on the way,0
your phonepe account shows suspicious activity verify url,1
happy birthday hope you have a great day,0
dear customer your hdfc card is blocked update details at url,1
team lunch tomorrow at 1pm everyone is invited,0
your kyc is pending failure to update will suspend your account url,1
congratulations your profile selected for 50000 govt grant url,1
sbi yono alert 1000000 reward points expiring today redeem bit ly clm9x,1
your otp is 140666 valid for 10 minutes do not share,0
you have won a free iphone 15 limited offer click url to claim,1
the match starts at 8pm don t miss it,0
alert suspicious login detected on your sbi account verify immediately url,1
hey are we still meeting today,0
mom i ll call you tonight in a meeting now,0
earn 500000 daily from home no investment needed join now bit ly clm9x,1
your cvv has been changed without your permission call phone,1
hey are we still meeting today,0
can you send me the address again,0
server maintenance scheduled for tonight 2 4am,0
meeting rescheduled to 4pm,0
can you pick up milk on the way,0
your phonepe account shows suspicious activity verify url,1
new message from your doctor test results are normal,0
lunch at 2pm let me know,0
reminder emi of 299 due in 3 days,0
reminder emi of 5000 due in 3 days,0
lottery win 100000 prize money awaiting you contact phone,1
can we reschedule our call to thursday,0
urgent your account will be blocked click url to verify now,1
free gold coin with every purchase above 1999 shop now url,1
crypto investment 1999 becomes 50000 in 7 days url,1
urgent job offer earn 199 day from home whatsapp phone,1
sending you the notes from today s class,0
sbi yono alert 1000000 reward points expiring today redeem url,1
your flight pnr is uj2km9 check in opens 48 hrs before,0
can you send me the address again,0
can we reschedule our call to thursday,0
earn 50000 daily from home no investment needed join now url,1
new message from your doctor test results are normal,0
your electricity bill of 299 is due on 26 1 2025,0
your order 250084428 has been shipped track at url,0
i ll be there by 7,0
sbi yono alert 25000 reward points expiring today redeem url,1
running 10 mins late sorry,0
lunch at 2pm let me know,0
the match starts at 8pm don t miss it,0
call me when you get home,0
can you pick up milk on the way,0
you have won a free iphone 15 limited offer click url to claim,1
payment of 199 received thank you for shopping with us,0
hi this is a reminder for your dentist appointment at 3pm,0
hey are we still meeting today,0
don t forget the assignment is due tomorrow,0
salary credited 999 to your account on 21 12 2025,0
dear customer your hdfc card is blocked update details at url,1
i ll be there by 7,0
alert new device login to your account if not you click url,1
final notice your pan card is linked to illegal activity call phone,1
don t forget the assignment is due tomorrow,0
transaction of 10000 done at reliance fresh avl bal 14781,0
your loan of 1000000 approved instantly no documents needed url,1
running 10 mins late sorry,0
earn 100000 daily from home no investment needed join now url,1
congratulations your profile selected for 25000 govt grant url,1
thanks for yesterday really helpful,0
you have won a free iphone 15 limited offer click url to claim,1
lunch at 2pm let me know,0
alert new device login to your account if not you click url,1
urgent job offer earn 199 day from home whatsapp phone,1
sbi yono alert 1000000 reward points expiring today redeem url,1
your flight pnr is cc5p8v check in opens 48 hrs before,0
your kyc is pending failure to update will suspend your account url,1
thanks for yesterday really helpful,0
running 10 mins late sorry,0
call me when you get home,0
lottery win 1000000 prize money awaiting you contact phone,1
your otp is 851759 valid for 10 minutes do not share,0
lunch at 2pm let me know,0
your cvv has been changed without your permission call phone,1
reminder emi of 1499 due in 3 days,0
call me when you get home,0
alert new device login to your account if not you click url,1
google pay reward 1000000 cashback waiting claim url,1
urgent job offer earn 199 day from home whatsapp phone,1
meeting rescheduled to 4pm,0
transaction of 5000 done at amazon avl bal 41230,0
bank customer survey complete and win 500000 cashback url,1
your internet connection will be cut in 24 hrs pay bill url,1
lunch at 2pm let me know,0
your cvv has been changed without your permission call phone,1
transaction of 10000 done at amazon avl bal 6141,0
your otp is 911032 valid for 10 minutes do not share,0
server maintenance scheduled for tonight 2 4am,0
your flight pnr is m5zka8 check in opens 48 hrs before,0
your order 721027598 has been shipped track at url,0
free gold coin with every purchase above 5000 shop now url,1
alert new device login to your account if not you click url,1
sending you the notes from today s class,0
income tax refund of 100000 approved provide bank details url,1
immediate action required aadhaar deactivation notice url,1
your internet connection will be cut in 24 hrs pay bill url,1
reminder emi of 999 due in 3 days,0
lottery win 25000 prize money awaiting you contact phone,1
salary credited 10000 to your account on 8 10 2025,0
call me when you get home,0
the match starts at 8pm don t miss it,0
transaction of 999 done at swiggy avl bal 41015,0
salary credited 499 to your account on 13 5 2025,0
your amazon account is compromised reset password url,1
dear customer your appointment is confirmed for 6 7 2025,0
sending you the notes from today s class,0
payment of 2999 received thank you for shopping with us,0
can you send me the address again,0
lunch at 2pm let me know,0
police notice you have a pending case pay 999 fine now url,1
congratulations you have won 500000 in our lucky draw claim at bit ly clm9x,1
hi this is a reminder for your dentist appointment at 3pm,0
meeting rescheduled to 4pm,0
call me when you get home,0
package delivered to your door check the doorstep,0
lunch at 2pm let me know,0
hi this is a reminder for your dentist appointment at 3pm,0
dear customer your appointment is confirmed for 17 12 2025,0
your kyc is pending failure to update will suspend your account url,1
your amazon account is compromised reset password url,1
your electricity bill of 499 is due on 6 5 2025,0
the match starts at 8pm don t miss it,0
your kyc is pending failure to update will suspend your account url,1
win big in cricket betting 499 becomes 100000 join url,1
transaction of 499 done at dmart avl bal 37042,0
mom i ll call you tonight in a meeting now,0
your electricity bill of 999 is due on 1 4 2025,0
team lunch tomorrow at 1pm everyone is invited,0
can you send me the address again,0
your internet connection will be cut in 24 hrs pay bill url,1
your order 209422179 has been shipped track at url,0
your paytm wallet will be deactivated verify kyc now url,1
final notice your pan card is linked to illegal activity call phone,1
sending you the notes from today s class,0
can we reschedule our call to thursday,0
transaction of 1499 done at zomato avl bal 30646,0
running 10 mins late sorry,0
payment of 199 received thank you for shopping with us,0
the match starts at 8pm don t miss it,0
meeting rescheduled to 4pm,0
your loan of 50000 approved instantly no documents needed url,1
urgent job offer earn 499 day from home whatsapp phone,1
team lunch tomorrow at 1pm everyone is invited,0
flipkart sale get 90 off first 100 users only bit ly clm9x,1
server maintenance scheduled for tonight 2 4am,0
dear customer your hdfc card is blocked update details at url,1
win big in cricket betting 5000 becomes 100000 join url,1
flipkart sale get 90 off first 100 users only url,1
hi this is a reminder for your dentist appointment at 3pm,0
win big in cricket betting 999 becomes 50000 join url,1
can you pick up milk on the way,0
win big in cricket betting 1999 becomes 25000 join url,1
hi this is a reminder for your dentist appointment at 3pm,0
reminder emi of 999 due in 3 days,0
don t forget the assignment is due tomorrow,0
can you send me the address again,0
can you send me the address again,0
your phonepe account shows suspicious activity verify bit ly clm9x,1
urgent your account will be blocked click url to verify now,1
alert new device login to your account if not you click url,1
your paytm wallet will be deactivated verify kyc now url,1
bank customer survey complete and win 100000 cashback url,1
don t forget the assignment is due tomorrow,0
your kyc is pending failure to update will suspend your account url,1
dear customer your hdfc card is blocked update details at url,1
income tax refund of 500000 approved provide bank details url,1
your paytm wallet will be deactivated verify kyc now url,1
your internet connection will be cut in 24 hrs pay bill url,1
payment of 999 received thank you for shopping with us,0
your amazon account is compromised reset password bit ly clm9x,1
alert new device login to your account if not you click bit ly clm9x,1
your order 835842393 has been shipped track at url,0
govt scheme get 50000 directly in your account apply url,1
congratulations your profile selected for 1000000 govt grant url,1
your flight pnr is 6aqyy5 check in opens 48 hrs before,0
final notice your pan card is linked to illegal activity call phone,1
running 10 mins late sorry,0
your subscription renews on 7 1 2025 amount 199,0
don t forget the assignment is due tomorrow,0
lunch at 2pm let me know,0
thanks for yesterday really helpful,0
crypto investment 199 becomes 500000 in 7 days url,1
police notice you have a pending case pay 499 fine now bit ly clm9x,1
the match starts at 8pm don t miss it,0
urgent your account will be blocked click url to verify now,1
can you send me the address again,0
meeting rescheduled to 4pm,0
dear customer your appointment is confirmed for 14 1 2025,0
flipkart sale get 90 off first 100 users only url,1
team lunch tomorrow at 1pm everyone is invited,0
payment of 299 received thank you for shopping with us,0
server maintenance scheduled for tonight 2 4am,0
meeting rescheduled to 4pm,0
running 10 mins late sorry,0
sending you the notes from today s class,0
congratulations your profile selected for 100000 govt grant url,1
your internet connection will be cut in 24 hrs pay bill url,1
dear customer your appointment is confirmed for 1 6 2025,0
